What username did you use to access PromptEd?,Model-Tutor,"Overall, I am satisfied with how easy it is to use this system.",It was simple to use this system.,"I was able to complete the tasks and scenarios quickly using
this system.",I felt comfortable using this system.,It was easy to learn to use this system.,I believe I could become productive quickly using this system.
KittenLemon,openai-explanation,7,7,7,5,6,5
YellowOrange,openai-scaffolding,6,7,4,6,7,7
AppleHappy,gemini-direct,6,7,7,7,6,7
EagleUmbrella,openai-scaffolding,5,7,3,6,6,2
TigerTiger,gemini-explanation,6,6,3,5,6,4
DeltaHappy,openai-direct,6,6,5,5,6,6
PandaUmbrella,gemini-explanation,3,3,1,4,5,4
FrostGrape,gemini-direct,7,7,7,7,7,7
SunnyUmbrella,gemini-scaffolding,6,7,7,6,6,7
YellowCandy,gemini-scaffolding,5,2,1,5,6,6
SunnyEagle,openai-direct,5,6,6,6,6,6
CandyViolet,gemini-scaffolding,6,6,6,6,6,6
